Team Number,Nickname,Website,Location,
"1075","Sprockets","http://www.wix.com/thesinclairsprockets/2012","Whitby ON Canada",
"1114","Simbotics","http://www.simbotics.org","St. Catharines ON Canada",
"1219","Iron Eagles","http://ironeagles.net/","Toronto ON Canada",
"1246","Agincourt Lancers","http://team1246.wordpress.com/","Toronto ON Canada",
"1285","Theory 6",,"mississauga ON Canada",
"1325","Inverse Paradox","http://www.team1325.com/","Mississauga ON Canada",
"1404","Shocks",,"Toronto ON Canada",
"1547","Where's Waldo?","http://waldo.trafalgarcastle.ca","Whitby ON Canada",
"2013","Cybergnomes","http://www.Cybergnomes.ca","Stayner ON Canada",
"2198","Paradigm Shift",,"Toronto ON Canada",
"2601","Steel Hawks","http://www.steelhawks.net","Flushing NY USA",
"2609","BeaverwörX","http://www.lourdeschs.com/crusader/","Guelph ON Canada",
"2994","ASTECHZ","http://allsaintsrobotics.com","Kanata ON Canada",
"3360","Hyperion","http://hyperion3360.wordpress.com/","Sherbrooke QC Canada",
"3386","Tornades","http://tornades3386.wix.com/tornades3386","Montréal QC Canada",
"3550","Robotronix","http://In process","Lasalle QC Canada",
"3710","FSS Cyber Falcons","http://www.cyberfalcons.com","Kingston ON Canada",
"3986","Express-O","http://www.express-o.ca","St laurent QC Canada",
"3988","Scarabot","http://scarabot.weebly.com","montreal QC Canada",
"4248","Bits & Pieces","http://team4248.com","Whitby ON Canada",
"4252","BASE",,"Markham ON Canada",
"4476","W.A.F.F.L.E.S.","http://wafflesrobotics.com/","Kingston ON Canada",
"4618","CN Robotics","http://4618.ca","Stoney Creek ON Canada",
"4627","IRON MANNING","http://schools.cbe.ab.ca/b826/","Calgary AB Canada",
"4718","RoboPanthers",,"685 Military Trail ON Canada",
"4727","RoboFX",,"Ottawa ON Canada",
"4783","Ravens","http://LDHSSrobotics.com","Ottawa ON Canada",
"4825","Ashbury Androids",,"Ottawa ON Canada",
"5031","Downsview Robotics",,"Toronto ON Canada",
"5036","Laurier Robotics",,"Scarborough ON Canada",
"5051","Fast Eddie Community Robotics",,"Port Perry ON Canada",
"5158","Richmond Hill",,"Richmond Hill ON Canada",
"746","Gear Heads",,"Torornto ON Canada",
"781","Kinetic Knights","http://www.team781.com/","Kincardine ON Canada",
"854","The Iron Bears","http://www.team854.ca","Toronto ON Canada",
"886","Wildcats","http://westview.tdsb.on.ca","North York ON Canada",
"907","East York Cybernetics The Cybernauts","http://team907.ca/","Toronto ON Canada",
"919","Tiger Techs","http://www.harbordci.ca","Toronto ON Canada",
