Team Number,Nickname,Website,Location,
"1246","Agincourt Lancers","http://team1246.wordpress.com/","Toronto ON Canada",
"1305","Ice Cubed","http://www.team1305.org","North Bay ON Canada",
"1310","RUNNYMEDE ROBOTICS","http://www.runnymedecollegiate.com/first","Toronto ON Canada",
"1325","Inverse Paradox","http://www.team1325.com/","Mississauga ON Canada",
"1334","Red Devils","http://www.1334.ca","Oakville ON Canada",
"1605","Project Da Vinci",,"Toronto ON Canada",
"188","Blizzard","http://www.team188.com","Toronto ON Canada",
"2013","Cybergnomes","http://www.Cybergnomes.ca","Stayner ON Canada",
"2200","MMRambotics","http://www.mmrambotics.ca","Burlington ON Canada",
"2386","Trojans","http://bchrobotics.com","Burlington ON Canada",
"2609","BeaverwörX","http://www.lourdeschs.com/crusader/","Guelph ON Canada",
"2994","ASTECHZ","http://allsaintsrobotics.com","Kanata ON Canada",
"3543","C4 Robotics","http://www.c4adhs.webs.com","Arnprior ON Canada",
"3571","Milton Mustangs","http://www.retupmoc.ca","Milton ON Canada",
"3710","FSS Cyber Falcons","http://www.cyberfalcons.com","Kingston ON Canada",
"4001","Retro-Rams","http://www.team4001.com","Thornhill ON Canada",
"4069","Lo-Ellen Robotics","http://www.loellenrobotics.org","Sudbury ON Canada",
"4152","Hoya Robotics",,"Huntsville ON Canada",
"4476","W.A.F.F.L.E.S.","http://wafflesrobotics.com/","Kingston ON Canada",
"4704","Northern Lights Robotics","http://dev.4704.ca","Timmins ON Canada",
"4754","RoBenedicts",,"Sudbury ON Canada",
"4902","The Wild",,"Burlington ON Canada",
"4914","Panthers",,"Toronto ON Canada",
"4951","Cyclones",,"King ON Canada",
"4968","RoboHawks",,"Lively ON Canada",
"4976","Rebels",,"Georgetown ON Canada",
"4992","Spartans",,"Milton ON Canada",
"5035","Red Hawks",,"North Bay ON Canada",
"5157","`Cardinals",,"Sudbury ON Canada",
"5164","Gators",,"Sudbury ON Canada",
"5191","LANCERobotics",,"Sudbury ON Canada",
"610","The Coyotes","http://www.team610.com/wordpress/","Toronto ON Canada",
"772","Sabre Bytes","http://www.sabrerobotics.com","LaSalle ON Canada",
